web-scraper-order,web-scraper-start-url,pagination-selector,image-src,data,priceCurrency,data2,data3,category
1758389988-12,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/04/calorilight-400x400.jpg,Ajouter au panier,TND,33.480 TND,FORTE PHARMA Calori Light 30 Gelules,Compléments Alimentaires
1758389991-34,https://www.maparatunisie.tn/nos-marques/forte-pharma/,https://www.maparatunisie.tn/nos-marques/forte-pharma/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/04/Calorilight_capteur_graisses_Fortepharma-400x400.jpg,Lire la suite,TND,58.400 TND,FORTE PHARMA Calori Light 60 Gelules,Minceur
1758389988-1,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/04/tigra-men-tonus-sexuel-fortepharma-400x400.webp,Ajouter au panier,TND,62.020 TND,FORTE PHARMA Energie Tigra+ Men 28 Comprimés 32g,Stimulants Sexuels
1758389988-1,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/04/tigra-men-tonus-sexuel-fortepharma-400x400.webp,Ajouter au panier,TND,62.020 TND,FORTE PHARMA Energie Tigra+ Men 28 Comprimés 32g,Stimulants Sexuels
1758389988-4,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/05/forte-pharma-expert-cheveux-28-comprimes-400x400.jpg,Ajouter au panier,TND,50.800 TND,FORTE PHARMA Expert Cheveux 3 en 1 28 comprimés,"Cheveux, peau, ongles"
1758389988-19,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/04/turbodraine-the-peche-draineur-minceur-fortepharma_2048x2048-400x400.webp,Lire la suite,TND,55.049 TND,FORTE PHARMA Turbodraine Minceur Peche 500ml,Draineurs et Detox
1758389988-5,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/04/turbodraine-framboises-draineur-minceur-fortepharma-400x400.webp,Ajouter au panier,TND,54.000 TND,FORTE PHARMA Turbodraine Minceur Framboise 500ml,Draineurs et Detox
1758389988-6,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/acerola-vitamines-naturelle-energie-fortepharma-400x400.webp,Ajouter au panier,TND,75.208 TND,FORTE PHARMA Energie Acerola 60 Comprimes,FORME ET VITALITE
1758389991-27,https://www.maparatunisie.tn/nos-marques/forte-pharma/,https://www.maparatunisie.tn/nos-marques/forte-pharma/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2024/04/forte-pharma-duo-pack-turbodraine-peche-2-x-500ml-400x400.jpg,Lire la suite,TND,86.350 TND,FORTE PHARMA Duo Pack Turbodraine Pèche 2 x 500ml,Coffrets
1758389988-21,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2024/04/forte-pharma-duo-pack-turbodraine-framboise-2-x-500ml-400x400.jpg,Lire la suite,TND,86.350 TND,FORTE PHARMA Duo Pack Turbodraine Framboise 2 x 500ml,Coffrets
1758389988-10,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/turbodraine-draineur-minceur-ananas-fortepharma-400x400.webp,Ajouter au panier,TND,54.000 TND,FORTE PHARMA Turbodraine Ananas 500ml,Draineurs et Detox
1758389988-10,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/turbodraine-draineur-minceur-ananas-fortepharma-400x400.webp,Ajouter au panier,TND,54.000 TND,FORTE PHARMA Turbodraine Ananas 500ml,Draineurs et Detox
1758389988-11,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/turbodraine-draineur-minceur-agrumes-fortepharma-400x400.webp,Ajouter au panier,TND,57.540 TND,FORTE PHARMA Turbodraine Agrumes 500ml,Compléments Alimentaires
1758389988-11,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/turbodraine-draineur-minceur-agrumes-fortepharma-400x400.webp,Ajouter au panier,TND,57.540 TND,FORTE PHARMA Turbodraine Agrumes 500ml,Compléments Alimentaires
1758389988-9,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2023/11/complement-alimentaire-bruleur-de-graisses-forte-pharma-xtraslim-coupe-faim-120-gelules-400x400.jpg,Ajouter au panier,TND,167.100 TND,Forte Pharma Xtraslim 700 120 Gélules,Bruleur de Graisse
1758389988-4,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/05/forte-pharma-expert-cheveux-28-comprimes-400x400.jpg,Ajouter au panier,TND,50.800 TND,FORTE PHARMA Expert Cheveux 3 en 1 28 comprimés,"Cheveux, peau, ongles"
1758389988-18,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/expert-hyaluronique-intense-acide-peau-fortepharma-400x400.webp,Lire la suite,TND,127.000 TND,FORTE PHARMA Expert Hyaluronic Intense 30 Gelules,soins anti-âge et anti-rides
1758389988-18,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/expert-hyaluronique-intense-acide-peau-fortepharma-400x400.webp,Lire la suite,TND,127.000 TND,FORTE PHARMA Expert Hyaluronic Intense 30 Gelules,soins anti-âge et anti-rides
1758389988-3,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/297383-forte-pharma-expert-collagene-intense-14-sticks-complement-alimentaire-peau-1000x1000-1-400x400.webp,Ajouter au panier,TND,128.000 TND,FORTE PHARMA Expert Collagene Intense 14 Sticks,Compléments Alimentaires
1758389988-20,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/forte-pharma-vitalite-4g-ultra-boost-30-comprimes-400x400.jpg,Lire la suite,TND,67.470 TND,FORTE PHARMA Vitalite 4G Ultra Boost 30 Comprimes,Deals de la semaine
1758389988-20,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/forte-pharma-vitalite-4g-ultra-boost-30-comprimes-400x400.jpg,Lire la suite,TND,67.470 TND,FORTE PHARMA Vitalite 4G Ultra Boost 30 Comprimes,Deals de la semaine
1758389988-22,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2022/10/forte-pharma-forte-stress-24h-15-comprimes-400x400.jpg,Lire la suite,TND,85.650 TND,FORTE PHARMA Forte Stress 24h 15 Comprimes,Stress et anxiété
1758389988-7,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2022/10/xtraslim-capteur-3en1-graisses-fortepharma-400x400.webp,Ajouter au panier,TND,117.100 TND,FORTE PHARMA XtraSlim Capteur 3 en 1 XtraFort 60 Gelules,Bruleur de Graisse
1758389988-24,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2024/07/forte-pharma-xtraslim-capteur-3-en-1-turbodraine-offert-400x400.webp,Lire la suite,TND,118.600 TND,Forté Pharma XtraSlim Capteur 3en1 + TurboDraine Offert,Coffrets
1758389988-13,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2022/12/xtraslim-coupe-faim-minceur-fortepharma-400x400.webp,Ajouter au panier,TND,102.040 TND,FORTE PHARMA XTRASLIM Coupe Faim 60 Gelules,Coupe Faim et satiété
1758389988-13,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2022/12/xtraslim-coupe-faim-minceur-fortepharma-400x400.webp,Ajouter au panier,TND,102.040 TND,FORTE PHARMA XTRASLIM Coupe Faim 60 Gelules,Coupe Faim et satiété
1758389988-15,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2023/07/forteflex-articulations-produit-fortepharma-400x400.webp,Ajouter au panier,TND,127.000 TND,Forté Pharma Forté Flex Max Articulations 120 comprimés,Articulations
1758389988-17,https://www.maparatunisie.tn/nos-marques/forte-pharma/,,https://www.maparatunisie.tn/wp-content/uploads/2022/07/minceur-retention-d-eau-45-comprimes-400x400.jpg,Lire la suite,TND,57.400 TND,FORTE PHARMA Retention D’eau 28 Comprimes,Compléments Alimentaires
"1758389988-16","https://www.maparatunisie.tn/nos-marques/forte-pharma/","","https://www.maparatunisie.tn/wp-content/uploads/2023/11/forte-pharma-multivit-kids-comprimes-a-croquer-30-pieces.df26c2-400x400.jpg","Ajouter au panier","TND","50.000 TND","Forté Pharma MultiVit’Kids Défenses 30 Comprimés à Croquer","Complements alimentaires bébés et enfants"
"1758389988-14","https://www.maparatunisie.tn/nos-marques/forte-pharma/","","https://www.maparatunisie.tn/wp-content/uploads/2021/12/vitalite-4G-shot-energie-naturelle-fortepharma-400x400.webp","Ajouter au panier","TND","85.680 TND","FORTE PHARMA Vitalite 4G Dynamisant 10 Ampoules","Compléments Alimentaires"