web-scraper-order,web-scraper-start-url,data-page-selector,data-page-selector-href,Article-headline-0,image-0-src,Product Category-0,Product Name-0,Product Full Title-0,Product Description-0
"1758850005-1","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","1° Rides d'expression (Dynamiques)
                                Crème Anti-Rides de JOUR 1° SPF15
                                                                Soins de la Peau 30+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-jour-1-spf15/?action=cat&id_cat=4","Crème Anti-Rides de JOUR 1° SPF15","https://www.gssante.com/MtdGssante/uploads/2021/05/clinc-1.jpg","Clinic Way","1° Rides d'expression (Dynamiques)","Soins de la Peau 30+ 50ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec un Technologie Lipo-Sphere de transport cutané unique.
Empêcher le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux :
 Acide hyaluronique : assure une bonne hydratation de la peau en formant une couche protectrice à sa surface pour éviter la perte d’eau transépidermique. En raison de sa capacité à lier de grandes quantités d’eau, il maintient une bonne hydratation des tissus et remplit l’espace entre les fibres de collagène, assurant l’élasticité et la fermeté de la peau.
 Aqua Calcis : eau de chaux de la pharmacopée, en raison de son antiseptique, propriétés apaisantes et anti-irritantes."
"1758850008-2","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","1° Rides d'expression (Dynamiques)
                                Crème Anti-Rides de NUIT 1°
                                                                Soins de la Peau 30+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/728-2/?action=cat&id_cat=4","Crème Anti-Rides de NUIT 1°","https://www.gssante.com/MtdGssante/uploads/2021/05/clinic-1-nuit.jpg","Clinic Way","1° Rides d'expression (Dynamiques)","Soins de la Peau 30+ 50ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec un Technologie Lipo-Sphere de transport cutané unique .
Empêcher le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux:
Complexe de hyaluronate : grâce à des microsphères spéciales, il pénètre dans les couches les plus profondes de la peau, où il absorbe l’eau et se dilate, offrant un double effet : *comble les rides de l’intérieur et lisse la surface de la peau. *Eau parfaitement liante, elle hydrate intensément la peau et ses couches profondes.
 Aqua Calcis :  eau de chaux de la pharmacopée, en raison de son antiseptique, propriétés apaisantes et anti-irritantes."
"1758850011-3","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","2° Rides Statiques  (Vieillesse)
                                Crème Anti-Rides de JOUR 2° SPF20
                                                                Soins de la Peau 40+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-jour-2-spf15/?action=cat&id_cat=4","Crème Anti-Rides de JOUR 2° SPF20","https://www.gssante.com/MtdGssante/uploads/2021/05/clini-2jour.jpg","Clinic Way","2° Rides Statiques  (Vieillesse)","Soins de la Peau 40+ 50ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec un unique Transport cutané Technologie Lipo-Sphere .
Empêcher le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux.
 Rétinoïde : il provoque la remodulation des fibres de collagène en éliminant les fibres endommagées et en augmentant la quantité de collagène, en particulier dans les zones touchées par l’élastase.
 Il éclaircit les taches solaires et prévient la sécheresse excessive de l’épiderme, rendant la peau plus élastique et les rides moins visibles.
 Aqua Calcis : Eau de chaux de la pharmacopée, en raison de ses propriétés antiseptiques, apaisantes et anti-irritantes."
"1758850014-4","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","2° Rides Statiques  (Vieillesse)
                                Crème Anti-Rides de NUIT 2°
                                                                Soins de la Peau 40+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-nuit-2/?action=cat&id_cat=4","Crème Anti-Rides de NUIT 2°","https://www.gssante.com/MtdGssante/uploads/2021/05/clin-2-nuit.jpg","Clinic Way","2° Rides Statiques  (Vieillesse)","Soins de la Peau 40+ 50ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec un unique Transport cutané Technologie Lipo-Sphere .
 inhibe le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux. Complexe de rétinoïdes – soutient l’élimination des dommages cutanés causés par les UV. Il stimule la production de collagène, régule le processus de renouvellement de l’épiderme et la mélanogenèse. Le résultat est une flexibilité et une élasticité accrues, une réduction des rides et une amélioration de la couleur et des fonctions protectrices de la peau. Aqua Calcis – eau de chaux de la pharmacopée, en raison de son antiseptique, propriétés apaisantes et anti-irritantes. EFFICACITÉ PROUVÉE: • amélioration de l’élasticité et de la fermeté de la peau (86% *), • amélioration de l’hydratation de 21% *, • réduction de la sécheresse cutanée de 51% *, • lissage de la peau de 25% *, • RÉDUCTION DES RIDES ÉLASTOTIQUES PAR 22% *. * Recherche in vivo au Centre Dr Irena Eris pour la science et la recherche."
"1758850018-5","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","3° Rides Atrophiques
                                Crème Anti-Rides de JOUR 3° SPF15
                                                                Soins de la peau 50+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-jour-3-spf15/?action=cat&id_cat=4","Crème Anti-Rides de JOUR 3° SPF15","https://www.gssante.com/MtdGssante/uploads/2021/05/clinic-3-jour.jpg","Clinic Way","3° Rides Atrophiques","Soins de la peau 50+ 50ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec un unique Transport cutané Technologie Lipo-Sphere.
Empêcher  le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux. 
Phytohormone : atténue les effets du déficit hormonal de la peau en stimulant la production de fibres de collagène et en augmentant le niveau de glycosaminoglycanes, en particulier l’acide hyaluronique responsable d’une hydratation optimale. Cela améliore la tension et la fermeté de la peau et réduit le nombre et la profondeur des rides atrophiques.
 Aqua Calcis : eau de chaux de la pharmacopée, en raison de son antiseptique, propriétés apaisantes et anti-irritantes."
"1758850021-6","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","3° Rides Atrophiques
                                Crème Anti-Rides de NUIT 3°
                                                                Soins de la peau 50+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-nuit-3/?action=cat&id_cat=4","Crème Anti-Rides de NUIT 3°","https://www.gssante.com/MtdGssante/uploads/2021/05/clinic-3-nuit.jpg","Clinic Way","3° Rides Atrophiques","Soins de la peau 50+ 50ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec Transport cutané Technologie Lipo-Sphere .
Empêcher le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux:
 Complexe de phytohormone : stimule les processus de régénération de la peau et répare la chaîne de production physiologique de collagène et d’élastine, interrompue en raison d’un déficit hormonal. 
Il maintient une concentration optimale d’acide hyaluronique, assurant une bonne hydratation de la peau, ce qui améliore sa fermeté, son élasticité et sa couleur. 
Aqua Calcis : eau de chaux de la pharmacopée, en raison de son antiseptique, propriétés apaisantes et anti-irritantes."
"1758850024-7","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","4° Rides Profondes 
                                Crème Anti-Rides de JOUR 4° SPF20
                                                                Soins de la peau 60+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/751-2/?action=cat&id_cat=4","Crème Anti-Rides de JOUR 4° SPF20","https://www.gssante.com/MtdGssante/uploads/2021/05/clinc-way-4-jour.jpg","Clinic Way","4° Rides Profondes","Soins de la peau 60+ 50ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec Transport cutané Technologie Lipo-Sphere -.
Empêcher  le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux :
 Bio-Peptide : améliore la réparation et la reconstruction des cellules responsables de la connexion et de la disposition correctes de «l’échafaudage» du derme (principalement collagène i et III).
 Augmente l’intégrité et la cohésion de la peau, grâce à quoi l’ovale du visage est plus net et les signes de vieillissement deviennent moins visibles. 
Aqua Calcis : eau de chaux de la pharmacopée, en raison de son antiseptique, propriétés apaisantes et anti-irritantes."
"1758850027-8","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","4° Rides Profondes 
                                Crème Anti-Rides de NUIT 4°
                                                                Soins de la peau 60+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-nuit-4/?action=cat&id_cat=4","Crème Anti-Rides de NUIT 4°","https://www.gssante.com/MtdGssante/uploads/2021/05/clini-4-nuit.jpg","Clinic Way","4° Rides Profondes","Soins de la peau 60+ 50ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec un Transport cutané Technologie Lipo-Sphere .
Empêcher le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux:  
Complexe Bio-Peptide : stimule le processus de réparation des dommages causés par le vieillissement cutané. 
Renforce visiblement ses structures protéiques et lipidiques responsables du maintien de la cohésion cellulaire normale, de l’élasticité des tissus, de l’équilibre hydrique et de la protection contre les facteurs externes nocifs. 
Aqua Calcis : Eau de chaux de la pharmacopée, en raison de ses propriétés antiseptiques, apaisantes et anti-irritantes."
"1758850030-9","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","5° Rides Anisotropes (Rides très profondes)
                                Crème Anti-Rides de JOUR 5° SPF 20
                                                                Soins de la peau 70+
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-jour-5-spf-20/?action=cat&id_cat=4","Crème Anti-Rides de JOUR 5° SPF 20","https://www.gssante.com/MtdGssante/uploads/2021/05/clini-cjour-5.jpg","Clinic Way","5° Rides Anisotropes (Rides très profondes)","Soins de la peau 70+","Iso-Lipid: reconstitue les lipides, améliore la microstructure épidermique et rajeunit visiblement les traits du visage.
 Il stimule la maturation des cellules souches responsables de la synthèse des triglycérides ** pour assurer le lipo-comblement des rides profondes. En améliorant la réticulation cutanée, il restaure la souplesse et l’élasticité naturelles de la peau.
 Réactivateur de renouvellement cutané FGF1 LMS ™ avec une technologie unique de transport cutané Lipo-Sphere .
Empecher le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux. 
Aqua Calcis : Eau de chaux de la pharmacopée aux propriétés antiseptiques, apaisantes et anti-irritantes."
"1758850033-10","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","5° Rides Anisotropes (Rides très profondes)
                                Crème Anti-Rides de NUIT 5°
                                                                Soins de la peau 70+
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-nuit-5/?action=cat&id_cat=4","Crème Anti-Rides de NUIT 5°","https://www.gssante.com/MtdGssante/uploads/2021/05/5-clinic.jpg","Clinic Way","5° Rides Anisotropes (Rides très profondes)","Soins de la peau 70+","Complexe Iso-Lipid: reconstruit la barrière lipidique naturelle de la peau, rétablit la communication intercellulaire normale et active les processus de régénération profonde. Il
Empecher le vieillissement des ﬁ broblastes par une neuroprotection intense et la préservation de la synthèse de collagène et d’élastine. 
Le complexe réduit le relâchement cutané, uniformise la surface de la peau et réduit visiblement les rides.
 Réactivateur de renouvellement cutané FGF1 LMS ™ avec une technologie unique de transport cutané Lipo-Sphere .
Empêcher le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux.
 Aqua Calcis : Eau de chaux de la pharmacopée aux propriétés antiseptiques, apaisantes et anti-irritantes."
"1758850037-11","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","1°+2° Rides d'expression et Rides statiques
                                Crème Anti-Rides de JOUR et de NUIT 1°+2° pour le CONTOUR DES YEUX
                                                                1°+2° Degré de vieillissement de la peau autour des yeux 15ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-jour-et-de-nuit-12-pour-le-contour-des-yeux/?action=cat&id_cat=4","Crème Anti-Rides de JOUR et de NUIT 1°+2° pour le CONTOUR DES YEUX","https://www.gssante.com/MtdGssante/uploads/2021/05/clinic-way-12.jpg","Clinic Way","1°+2° Rides d'expression et Rides statiques","1°+2° Degré de vieillissement de la peau autour des yeux 15ml","Réactivateur de renouvellement cutané FGF1 LMS ™ avec une technologie Lipo-Sphere de transport cutané unique .
Empêcher  le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux. 
Acide hyaluronique : fournit une hydratation intense de la peau, formant à sa surface une protection naturelle qui limite considérablement l’évaporation de l’eau et la protège contre les facteurs externes défavorables. 
Protéines végétales : réduisent les effets nocifs des rayons UV en inhibant la dégradation de la structure de soutien de la peau.
 Ils améliorent la microcirculation, ce qui réduit les cernes et les poches sous les yeux.
 Aqua Calcis : eau de chaux pharmacopée, grâce à ses propriétés antiseptiques, apaisantes et anti-irritantes, offre un soin sûr et confortable pour les peaux sensibles."
"1758850040-12","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","3°+4° Rides Profondes et Perte d'élasticité  
                                Crème Anti-Rides de JOUR et de NUIT 3°+4° pour le CONTOUR DES YEUX
                                                                3°+4° Degré de vieillissement de la peau autour des yeux 15ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-anti-rides-de-jour-et-de-nuit-34-pour-le-contour-des-yeux/?action=cat&id_cat=4","Crème Anti-Rides de JOUR et de NUIT 3°+4° pour le CONTOUR DES YEUX","https://www.gssante.com/MtdGssante/uploads/2021/05/clinc-way-34.jpg","Clinic Way","3°+4° Rides Profondes et Perte d'élasticité","3°+4° Degré de vieillissement de la peau autour des yeux 15ml","Le réactivateur de renouvellement cutané FGF1 LMS ™ avec une technologie unique de transport cutané Lipo-Sphere .
Empêcher  le processus de vieillissement cutané en réactivant les propriétés régénératrices et le potentiel d’auto-renouvellement à trois niveaux.
 Tri-peptide : combat activement tous les types de rides, hydrate et raffermit la peau en stimulant la synthèse du collagène, augmentant considérablement son niveau tissulaire. 
Protéines végétales : en épaississant et en renforçant le maillage collagène-élastine, elles assurent une meilleure microcirculation. 
Ils améliorent le teint et l’élasticité de la peau, réduire les cernes sous les yeux et empêcher la formation de gonflement.
 Aqua Calcis : eau de chaux pharmacopée, grâce à ses propriétés antiseptiques, apaisantes et anti-irritantes, offre un soin sûr et confortable pour les peaux sensibles."
"1758850043-13","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","Clinic Way Capsules, 30 capsules
                                Dermo- Capsules Revitalisantes
                                                                30 Gélules Vitamine Complexe A, C, E
                                                            
                                                        Voir plus","https://www.gssante.com/dermo-capsules-revitalisantes/?action=cat&id_cat=4","Dermo- Capsules Revitalisantes","https://www.gssante.com/MtdGssante/uploads/2021/06/Capsules.jpg","Clinic Way","Clinic Way Capsules, 30 capsules","30 Gélules Vitamine Complexe A, C, E","30 Gélules Vitamine Complexe A, C, E
La cure est recommandée comme traitement de 30 jours pour la régénération rapide de la peau fatiguée, déshydratée et sèche, ainsi que la prophylaxie contre le vieillissement cutané. Il agit comme un « micro-impulsions » stimulant et régénérant la peau pour lutter contre les signes du vieillissement."
"1758850046-14","https://www.gssante.com/category/nos-produits/clinic-way/?action=cat","Lifting Sérum
                                LIFTING SERUM
                                                                CLINIC WAY LIFTING SERUM 30 ML
                                                            
                                                        Voir plus","https://www.gssante.com/lifting-serum/?action=cat&id_cat=4","LIFTING SERUM","https://www.gssante.com/MtdGssante/uploads/2021/06/lifting.jpg","Clinic Way","Lifting Sérum","CLINIC WAY LIFTING SERUM 30 ML","CLINIC WAY Le lifting actif du dermosérum restaure instantanément l’élasticité de la peau, son hydratation et sa luminosité optimales.
Il procure un effet intensif de lissage des rides de différentes étiologies, grâce à des ingrédients spécialement sélectionnés de la nouvelle génération.
Le paquet contient 30 ml de préparation."
