product_name,primary_image_path,secondary_image_path,price,category
Pharmaceris A Hyaluro Sensilium Creme Acide Hyaluronique 40ml,PharmacerisImages\Pharmaceris_A_Hyaluro_Sensilium_Creme_Acide_Hyaluronique_40ml.jpg,PharmacerisImages\Pharmaceris_A_Hyaluro_Sensilium_Creme_Acide_Hyaluronique_40ml_2.jpg,TND,Soins hydratants et nourrissants
PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,PharmacerisImages\PHARMACERIS_X_Liposubtilium_Creme_Apaisant_75_ml.jpg,No secondary image,TND,Visage
Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,PharmacerisImages\Pharmaceris_A_Puri_Sensilium_Mousse_Nettoyante_Apaisante_150ml.jpg,PharmacerisImages\Pharmaceris_A_Puri_Sensilium_Mousse_Nettoyante_Apaisante_150ml_2.jpg,TND,"Lait, mousse, émulsion"
Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,PharmacerisImages\Pharmaceris_A_Puri_Sensilium_Mousse_Nettoyante_Apaisante_150ml.jpg,PharmacerisImages\Pharmaceris_A_Puri_Sensilium_Mousse_Nettoyante_Apaisante_150ml_2.jpg,TND,"Lait, mousse, émulsion"
Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml_2.jpg,TND,Protection Solaire Visage
Pharmaceris W Antiox Vitamine C 15% Concentré Eclaircissant 30ml,PharmacerisImages\Pharmaceris_W_Antiox_Vitamine_C_15%_Concentré_Eclaircissant_30ml.jpg,PharmacerisImages\Pharmaceris_W_Antiox_Vitamine_C_15%_Concentré_Eclaircissant_30ml_2.jpg,TND,Soins Spécifiques
PHARMACERIS W Triple Action Crème de jour éclaircissant SPF50+ 30 ml,PharmacerisImages\PHARMACERIS_W_Triple_Action_Crème_de_jour_éclaircissant_SPF50+_30_ml.jpg,No secondary image,TND,soins anti-taches et dépigmentants
Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,PharmacerisImages\Shampoing_H-Nutrimelin_pour_Cheveux_Secs_et_Abîmés_250ml.jpg,No secondary image,TND,"Shampoing cheveux secs, fins, cassants"
PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml.jpg,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml_2.jpg,TND,Shampoing antipelliculaire
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml.jpg,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml_2.jpg,TND,Shampoing antipelliculaire
Pharmaceris A Medic Protection SPF 100+ 75ml,PharmacerisImages\Pharmaceris_A_Medic_Protection_SPF_100+_75ml.jpg,PharmacerisImages\Pharmaceris_A_Medic_Protection_SPF_100+_75ml_2.jpg,TND,Protection supérieure à SPF 50+
Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(02_Sand)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(02_Sand)_30ml_2.jpg,TND,Ecran solaire teinté
Pharmaceris T Puri Sebogel Gel Nettoyant Purifiant 190ml,PharmacerisImages\Pharmaceris_T_Puri_Sebogel_Gel_Nettoyant_Purifiant_190ml.jpg,PharmacerisImages\Pharmaceris_T_Puri_Sebogel_Gel_Nettoyant_Purifiant_190ml_2.jpg,TND,"Gel, crème, huile"
Pharmaceris H-KERATINEUM Shampooing Cheveux Fins 250ml,PharmacerisImages\Pharmaceris_H-KERATINEUM_Shampooing_Cheveux_Fins_250ml.jpg,PharmacerisImages\Pharmaceris_H-KERATINEUM_Shampooing_Cheveux_Fins_250ml_2.jpg,TND,"Shampoing cheveux secs, fins, cassants"
Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,PharmacerisImages\Shampoing_H-Nutrimelin_pour_Cheveux_Secs_et_Abîmés_250ml.jpg,No secondary image,TND,"Shampoing cheveux secs, fins, cassants"
Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(02_Sand)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(02_Sand)_30ml_2.jpg,TND,Ecran solaire teinté
Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(02_Sand)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(02_Sand)_30ml_2.jpg,TND,Ecran solaire teinté
Pharmaceris H Stimuforten Spray Anti Chute 125ml,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml.jpg,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml_2.jpg,TND,Anti Chute de Cheveux & Fortifiants
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris T Puri Sebogel Gel Nettoyant Purifiant 190ml,PharmacerisImages\Pharmaceris_T_Puri_Sebogel_Gel_Nettoyant_Purifiant_190ml.jpg,PharmacerisImages\Pharmaceris_T_Puri_Sebogel_Gel_Nettoyant_Purifiant_190ml_2.jpg,TND,"Gel, crème, huile"
Pharmaceris T Sebo Almond Peel Crème Nuit Exfoliante 50ml,PharmacerisImages\Pharmaceris_T_Sebo_Almond_Peel_Crème_Nuit_Exfoliante_50ml.jpg,PharmacerisImages\Pharmaceris_T_Sebo_Almond_Peel_Crème_Nuit_Exfoliante_50ml_2.jpg,TND,Peaux à imperfections
PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml.jpg,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml_2.jpg,TND,Shampoing antipelliculaire
PHARMACERIS PURI-ICHTILIUM Gel Douche Shampoing,PharmacerisImages\PHARMACERIS_PURI-ICHTILIUM_Gel_Douche_Shampoing.jpg,No secondary image,TND,Shampoing antipelliculaire
Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,PharmacerisImages\Pharmaceris_Whitening_Depigment_Intense_Creme_de_Nuit_Anti_Tache_50ml.jpg,PharmacerisImages\Pharmaceris_Whitening_Depigment_Intense_Creme_de_Nuit_Anti_Tache_50ml_2.jpg,TND,soins anti-taches et dépigmentants
Pharmaceris H-Sensitonin Shampooing Apaisant pour Cuir Chevelu Sensible 250ml,PharmacerisImages\Pharmaceris_H-Sensitonin_Shampooing_Apaisant_pour_Cuir_Chevelu_Sensible_250ml.jpg,PharmacerisImages\Pharmaceris_H-Sensitonin_Shampooing_Apaisant_pour_Cuir_Chevelu_Sensible_250ml_2.jpg,TND,"Shampoing cheveux secs, fins, cassants"
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,PharmacerisImages\PHARMACERIS_X_Liposubtilium_Creme_Apaisant_75_ml.jpg,No secondary image,TND,Visage
Pharmaceris A Medic Protection SPF 100+ 75ml,PharmacerisImages\Pharmaceris_A_Medic_Protection_SPF_100+_75ml.jpg,PharmacerisImages\Pharmaceris_A_Medic_Protection_SPF_100+_75ml_2.jpg,TND,Protection supérieure à SPF 50+
Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,PharmacerisImages\Shampoing_H-Nutrimelin_pour_Cheveux_Secs_et_Abîmés_250ml.jpg,No secondary image,TND,"Shampoing cheveux secs, fins, cassants"
PHARMACERIS E Emotopic Ecran Mineral SPF 50+ 75ml,PharmacerisImages\PHARMACERIS_E_Emotopic_Ecran_Mineral_SPF_50+_75ml.jpg,PharmacerisImages\PHARMACERIS_E_Emotopic_Ecran_Mineral_SPF_50+_75ml_2.jpg,TND,Solaire
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,PharmacerisImages\Pharmaceris_A_Puri_Sensilium_Mousse_Nettoyante_Apaisante_150ml.jpg,PharmacerisImages\Pharmaceris_A_Puri_Sensilium_Mousse_Nettoyante_Apaisante_150ml_2.jpg,TND,"Lait, mousse, émulsion"
PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,PharmacerisImages\PHARMACERIS_X_Liposubtilium_Creme_Apaisant_75_ml.jpg,No secondary image,TND,Visage
Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,PharmacerisImages\Pharmaceris_Whitening_Depigment_Intense_Creme_de_Nuit_Anti_Tache_50ml.jpg,PharmacerisImages\Pharmaceris_Whitening_Depigment_Intense_Creme_de_Nuit_Anti_Tache_50ml_2.jpg,TND,soins anti-taches et dépigmentants
Pharmaceris H Stimuforten Spray Anti Chute 125ml,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml.jpg,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml_2.jpg,TND,Anti Chute de Cheveux & Fortifiants
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris A Opti-Sensilium Duo-Actif Antirides Contour des Yeux 15ml,PharmacerisImages\Pharmaceris_A_Opti-Sensilium_Duo-Actif_Antirides_Contour_des_Yeux_15ml.jpg,PharmacerisImages\Pharmaceris_A_Opti-Sensilium_Duo-Actif_Antirides_Contour_des_Yeux_15ml_2.jpg,TND,Anti-âge yeux
Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml_2.jpg,TND,Protection Solaire Visage
PHARMACERIS E Bath Emulsion 400 ml,PharmacerisImages\PHARMACERIS_E_Bath_Emulsion_400_ml.jpg,No secondary image,TND,Soins hydratants et nourrissants
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml_2.jpg,TND,Protection Solaire Visage
Pharmaceris T Sebo Almond Peel Crème Nuit Exfoliante 50ml,PharmacerisImages\Pharmaceris_T_Sebo_Almond_Peel_Crème_Nuit_Exfoliante_50ml.jpg,PharmacerisImages\Pharmaceris_T_Sebo_Almond_Peel_Crème_Nuit_Exfoliante_50ml_2.jpg,TND,Peaux à imperfections
PHARMACERIS H-STIMUTONE Shampooing Anti-cheveux Gris et Repousse,PharmacerisImages\PHARMACERIS_H-STIMUTONE_Shampooing_Anti-cheveux_Gris_et_Repousse.jpg,No secondary image,TND,Shampoing
PHARMACERIS T Sebo Moistatic Creme Hydratante 50 ml,PharmacerisImages\PHARMACERIS_T_Sebo_Moistatic_Creme_Hydratante_50_ml.jpg,No secondary image,TND,Visage
Pharmaceris W MELADERMIX PEEL Exfoliant 30ml,PharmacerisImages\Pharmaceris_W_MELADERMIX_PEEL_Exfoliant_30ml.jpg,PharmacerisImages\Pharmaceris_W_MELADERMIX_PEEL_Exfoliant_30ml_2.jpg,TND,Gommages Exfoliants
PHARMACERIS E Emotopic Ecran Mineral SPF 50+ 75ml,PharmacerisImages\PHARMACERIS_E_Emotopic_Ecran_Mineral_SPF_50+_75ml.jpg,PharmacerisImages\PHARMACERIS_E_Emotopic_Ecran_Mineral_SPF_50+_75ml_2.jpg,TND,Solaire
Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(02_Sand)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(02_Sand)_30ml_2.jpg,TND,Ecran solaire teinté
PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,PharmacerisImages\PHARMACERIS_X_Liposubtilium_Creme_Apaisant_75_ml.jpg,No secondary image,TND,Visage
PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml.jpg,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml_2.jpg,TND,Shampoing antipelliculaire
Pharmaceris H Stimuforten Spray Anti Chute 125ml,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml.jpg,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml_2.jpg,TND,Anti Chute de Cheveux & Fortifiants
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
PHARMACERIS PURI-ICHTILIUM Gel Douche Shampoing,PharmacerisImages\PHARMACERIS_PURI-ICHTILIUM_Gel_Douche_Shampoing.jpg,No secondary image,TND,Shampoing antipelliculaire
PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml.jpg,PharmacerisImages\PHARMACERIS_H-PURIN_Shampooing_Antipelliculaire_Seches_250ml_2.jpg,TND,Shampoing antipelliculaire
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
PHARMACERIS T Pack Retinolcreme,PharmacerisImages\PHARMACERIS_T_Pack_Retinolcreme.jpg,No secondary image,TND,MaPara MaPromo
Pharmaceris W OPTI LUMIN Crème Correctrice Eclaircissante Yeux 15ml,PharmacerisImages\Pharmaceris_W_OPTI_LUMIN_Crème_Correctrice_Eclaircissante_Yeux_15ml.jpg,PharmacerisImages\Pharmaceris_W_OPTI_LUMIN_Crème_Correctrice_Eclaircissante_Yeux_15ml_2.jpg,TND,Contour des yeux
Pharmaceris S Huile Seche SPF 50+ Corps et Cheveux 200ml,PharmacerisImages\Pharmaceris_S_Huile_Seche_SPF_50+_Corps_et_Cheveux_200ml.jpg,PharmacerisImages\Pharmaceris_S_Huile_Seche_SPF_50+_Corps_et_Cheveux_200ml_2.jpg,TND,Huiles Sèches
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris W Dépigment Tonique Éclaircissant 200ml,PharmacerisImages\Pharmaceris_W_Dépigment_Tonique_Éclaircissant_200ml.jpg,No secondary image,TND,"Eau micellaire, tonique, lotion"
PHARMACERIS Shampooing H-stimuclaris Antipelliculaire Anti Chute 250ml,PharmacerisImages\PHARMACERIS_Shampooing_H-stimuclaris_Antipelliculaire_Anti_Chute_250ml.jpg,PharmacerisImages\PHARMACERIS_Shampooing_H-stimuclaris_Antipelliculaire_Anti_Chute_250ml_2.jpg,TND,Shampoing antipelliculaire
Pharmaceris P Psoritar Intensive Creme Multifonctionnelle pour le Psoriasis Visage et Corps 50ml,PharmacerisImages\Pharmaceris_P_Psoritar_Intensive_Creme_Multifonctionnelle_pour_le_Psoriasis_Visage_et_Corps_50ml.jpg,PharmacerisImages\Pharmaceris_P_Psoritar_Intensive_Creme_Multifonctionnelle_pour_le_Psoriasis_Visage_et_Corps_50ml_2.jpg,TND,Soins Spécifiques
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
Pharmaceris H-KERATINEUM Shampooing Cheveux Fins 250ml,PharmacerisImages\Pharmaceris_H-KERATINEUM_Shampooing_Cheveux_Fins_250ml.jpg,PharmacerisImages\Pharmaceris_H-KERATINEUM_Shampooing_Cheveux_Fins_250ml_2.jpg,TND,"Shampoing cheveux secs, fins, cassants"
Pharmaceris A Vita-Sensilium Creme Visage Hydratante SPF20 50ml,PharmacerisImages\Pharmaceris_A_Vita-Sensilium_Creme_Visage_Hydratante_SPF20_50ml.jpg,PharmacerisImages\Pharmaceris_A_Vita-Sensilium_Creme_Visage_Hydratante_SPF20_50ml_2.jpg,TND,Soins hydratants et nourrissants
Pharmaceris A Prebio Sensilique Eau Micellaire Prebiotique 200ml,PharmacerisImages\Pharmaceris_A_Prebio_Sensilique_Eau_Micellaire_Prebiotique_200ml.jpg,PharmacerisImages\Pharmaceris_A_Prebio_Sensilique_Eau_Micellaire_Prebiotique_200ml_2.jpg,TND,"Eau micellaire, tonique, lotion"
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris H Stimuforten Spray Anti Chute 125ml,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml.jpg,PharmacerisImages\Pharmaceris_H_Stimuforten_Spray_Anti_Chute_125ml_2.jpg,TND,Anti Chute de Cheveux & Fortifiants
PHARMACERIS E Bath Emulsion 400 ml,PharmacerisImages\PHARMACERIS_E_Bath_Emulsion_400_ml.jpg,No secondary image,TND,Soins hydratants et nourrissants
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml.jpg,PharmacerisImages\Pharmaceris_Fond_de_Teint_SPF50+_(01_Ivory)_30ml_2.jpg,TND,Protection Solaire Visage
Pharmaceris S SPF50 Peaux à Imperfections 50ml + Mousse Nettoyante Puri-Sebostatic 150ml Offerte,PharmacerisImages\Pharmaceris_S_SPF50_Peaux_à_Imperfections_50ml_+_Mousse_Nettoyante_Puri-Sebostatic_150ml_Offerte.jpg,No secondary image,TND,MaPara MaPromo
PHARMACERIS H-STIMUTONE Shampooing Anti-cheveux Gris et Repousse,PharmacerisImages\PHARMACERIS_H-STIMUTONE_Shampooing_Anti-cheveux_Gris_et_Repousse.jpg,No secondary image,TND,Shampoing
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml.jpg,PharmacerisImages\Pharmaceris_S_Dermopediatric_Protection_Solaire_Enfant_SPF50+_125ml_2.jpg,TND,Protection solaire
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,PharmacerisImages\Pharmaceris_Whitening_Depigment_Intense_Creme_de_Nuit_Anti_Tache_50ml.jpg,PharmacerisImages\Pharmaceris_Whitening_Depigment_Intense_Creme_de_Nuit_Anti_Tache_50ml_2.jpg,TND,soins anti-taches et dépigmentants
Pharmaceris A Medic Protection SPF 100+ 75ml,PharmacerisImages\Pharmaceris_A_Medic_Protection_SPF_100+_75ml.jpg,PharmacerisImages\Pharmaceris_A_Medic_Protection_SPF_100+_75ml_2.jpg,TND,Protection supérieure à SPF 50+
Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),PharmacerisImages\Pharmaceris_T_Coffret_Retinol_Creme_de_Nuit_+_Gel_Nettoyant_(Offert).jpg,No secondary image,TND,Black Friday
