web-scraper-order,web-scraper-start-url,pagination-selector,image-src,image2-src,priceCurrency,data,data2,data3,category
1758458377-11,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-hyaluro-sensilium-creme-acide-hyaluronique-40ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-hyaluro-sensilium-creme-acide-hyaluronique-40ml-6-400x400.webp,TND,65.720 TND,Ajouter au panier,Pharmaceris A Hyaluro Sensilium Creme Acide Hyaluronique 40ml,Soins hydratants et nourrissants
1758458384-60,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-x-soothing-and-regenerating-face-and-body-cream-75-ml-400x400.jpg,,TND,35.480 TND,Lire la suite,PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,Visage
1758458377-8,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-puri-sensilium-mousse-nettoyante-apaisante-150ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-puri-sensilium-mousse-nettoyante-apaisante-150ml-3-400x400.webp,TND,31.420 TND,Ajouter au panier,Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,"Lait, mousse, émulsion"
1758458377-8,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-puri-sensilium-mousse-nettoyante-apaisante-150ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-puri-sensilium-mousse-nettoyante-apaisante-150ml-3-400x400.webp,TND,31.420 TND,Ajouter au panier,Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,"Lait, mousse, émulsion"
1758458377-2,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-fond-de-teint-spf-50-01-ivory-30ml-4-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-fond-de-teint-spf-50-01-ivory-30ml-2-400x400.webp,TND,54.000 TND,Ajouter au panier,Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,Protection Solaire Visage
1758458380-48,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2024/11/pharmaceris-concentre-eclaircissant-antiox-vitamine-c-15-30ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2024/11/pharmaceris-concentre-eclaircissant-antiox-vitamine-c-15-30ml-5-400x400.webp,TND,97.100 TND,Lire la suite,Pharmaceris W Antiox Vitamine C 15% Concentré Eclaircissant 30ml,Soins Spécifiques
1758458377-23,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/Pharmaceris-Albucin-crème-de-jour-SPF50-400x400.jpg,,TND,61.300 TND,Lire la suite,PHARMACERIS W Triple Action Crème de jour éclaircissant SPF50+ 30 ml,soins anti-taches et dépigmentants
1758458384-51,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-shampooing-h-nutrimelin-cheveux-sec-et-abimes-250-ml-400x400.webp,,TND,28.460 TND,Lire la suite,Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,"Shampoing cheveux secs, fins, cassants"
1758458384-57,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-purin-shampooing-antipelliculaire-seches-250ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/PhotoRoom-20230609_155431-400x400.webp,TND,28.460 TND,Lire la suite,PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,Shampoing antipelliculaire
1758458380-46,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-s-dermopediatric-protection-solaire-enfant-spf50-125ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-s-dermopediatric-protection-solaire-enfant-spf50-125ml-4-400x400.webp,TND,50.180 TND,Lire la suite,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,Protection solaire
1758458384-57,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-purin-shampooing-antipelliculaire-seches-250ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/PhotoRoom-20230609_155431-400x400.webp,TND,28.460 TND,Lire la suite,PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,Shampoing antipelliculaire
1758458377-9,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-medic-protection-spf-10075ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-medic-protection-spf-100-75ml-400x400.jpg,TND,79.680 TND,Ajouter au panier,Pharmaceris A Medic Protection SPF 100+ 75ml,Protection supérieure à SPF 50+
1758458377-3,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-fond-de-teint-spf-50-02-sand-30ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-fond-de-teint-spf-50-02-sand-30ml-3-400x400.webp,TND,54.000 TND,Ajouter au panier,Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,Ecran solaire teinté
1758458377-6,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-t-puri-sebogel-gel-nettoyant-purifiant-190ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-t-puri-sebogel-gel-nettoyant-purifiant-190ml-4-400x400.webp,TND,37.476 TND,Ajouter au panier,Pharmaceris T Puri Sebogel Gel Nettoyant Purifiant 190ml,"Gel, crème, huile"
1758458384-52,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-shampooing-h-keratineum-cheveux-fins-250ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/71dv7pbPkfL-400x400.jpg,TND,33.480 TND,Lire la suite,Pharmaceris H-KERATINEUM Shampooing Cheveux Fins 250ml,"Shampoing cheveux secs, fins, cassants"
1758458384-51,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-shampooing-h-nutrimelin-cheveux-sec-et-abimes-250-ml-400x400.webp,,TND,28.460 TND,Lire la suite,Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,"Shampoing cheveux secs, fins, cassants"
1758458377-3,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-fond-de-teint-spf-50-02-sand-30ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-fond-de-teint-spf-50-02-sand-30ml-3-400x400.webp,TND,54.000 TND,Ajouter au panier,Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,Ecran solaire teinté
1758458377-3,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-fond-de-teint-spf-50-02-sand-30ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-fond-de-teint-spf-50-02-sand-30ml-3-400x400.webp,TND,54.000 TND,Ajouter au panier,Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,Ecran solaire teinté
1758458380-25,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-stimuforten-spray-anti-chute-125ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-stimuforten-spray-anti-chute-125ml-6-400x400.webp,TND,52.020 TND,Lire la suite,Pharmaceris H Stimuforten Spray Anti Chute 125ml,Anti Chute de Cheveux & Fortifiants
1758458380-46,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-s-dermopediatric-protection-solaire-enfant-spf50-125ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-s-dermopediatric-protection-solaire-enfant-spf50-125ml-4-400x400.webp,TND,50.180 TND,Lire la suite,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,Protection solaire
1758458377-6,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-t-puri-sebogel-gel-nettoyant-purifiant-190ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-t-puri-sebogel-gel-nettoyant-purifiant-190ml-4-400x400.webp,TND,37.476 TND,Ajouter au panier,Pharmaceris T Puri Sebogel Gel Nettoyant Purifiant 190ml,"Gel, crème, huile"
1758458380-33,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/02/pharmaceris-t-sebo-almond-creme-de-nuit-exfoliante-50ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2022/02/pharmaceris-t-sebo-almond-creme-de-nuit-exfoliante-50ml-2-400x400.webp,TND,41.230 TND,Lire la suite,Pharmaceris T Sebo Almond Peel Crème Nuit Exfoliante 50ml,Peaux à imperfections
1758458384-57,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-purin-shampooing-antipelliculaire-seches-250ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/PhotoRoom-20230609_155431-400x400.webp,TND,28.460 TND,Lire la suite,PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,Shampoing antipelliculaire
1758458384-54,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-puri-ichtilium-gel-douche-shampoing-1-400x400.jpg,,TND,27.620 TND,Lire la suite,PHARMACERIS PURI-ICHTILIUM Gel Douche Shampoing,Shampoing antipelliculaire
1758458377-14,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2024/12/pharmaceris-whitening-depigment-intense-creme-de-nuit-anti-tache-50ml-400x400.webp,https://www.maparatunisie.tn/wp-content/uploads/2024/12/5900717147126_1-400x400.jpg,TND,64.870 TND,Ajouter au panier,Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,soins anti-taches et dépigmentants
1758458384-50,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-sensitonin-shampooing-apaisant-pour-cuir-chevelu-sensible-250ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-sensitonin-shampooing-apaisant-pour-cuir-chevelu-sensible-250ml-2-400x400.webp,TND,33.480 TND,Lire la suite,Pharmaceris H-Sensitonin Shampooing Apaisant pour Cuir Chevelu Sensible 250ml,"Shampoing cheveux secs, fins, cassants"
1758458380-46,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-s-dermopediatric-protection-solaire-enfant-spf50-125ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-s-dermopediatric-protection-solaire-enfant-spf50-125ml-4-400x400.webp,TND,50.180 TND,Lire la suite,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,Protection solaire
1758458384-60,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-x-soothing-and-regenerating-face-and-body-cream-75-ml-400x400.jpg,,TND,35.480 TND,Lire la suite,PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,Visage
1758458377-9,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-medic-protection-spf-10075ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-medic-protection-spf-100-75ml-400x400.jpg,TND,79.680 TND,Ajouter au panier,Pharmaceris A Medic Protection SPF 100+ 75ml,Protection supérieure à SPF 50+
1758458384-51,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-shampooing-h-nutrimelin-cheveux-sec-et-abimes-250-ml-400x400.webp,,TND,28.460 TND,Lire la suite,Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,"Shampoing cheveux secs, fins, cassants"
1758458384-62,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-e-emotopic-ecran-mineral-spf-50-75-ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-emotopic-ecran-mineral-spf-50-75-ml.jpg,TND,44.200 TND,Lire la suite,PHARMACERIS E Emotopic Ecran Mineral SPF 50+ 75ml,Solaire
1758458380-41,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2023/11/pharmaceris-t-coffret-retinol-creme-de-nuit-gel-nettoyant-offert-400x400.jpg,,TND,55.690 TND,Lire la suite,Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),Black Friday
1758458377-8,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-puri-sensilium-mousse-nettoyante-apaisante-150ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-puri-sensilium-mousse-nettoyante-apaisante-150ml-3-400x400.webp,TND,31.420 TND,Ajouter au panier,Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,"Lait, mousse, émulsion"
1758458384-60,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-x-soothing-and-regenerating-face-and-body-cream-75-ml-400x400.jpg,,TND,35.480 TND,Lire la suite,PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,Visage
1758458377-14,https://www.maparatunisie.tn/nos-marques/pharmaceris/,,https://www.maparatunisie.tn/wp-content/uploads/2024/12/pharmaceris-whitening-depigment-intense-creme-de-nuit-anti-tache-50ml-400x400.webp,https://www.maparatunisie.tn/wp-content/uploads/2024/12/5900717147126_1-400x400.jpg,TND,64.870 TND,Ajouter au panier,Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,soins anti-taches et dépigmentants
1758458380-25,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-stimuforten-spray-anti-chute-125ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/pharmaceris-h-stimuforten-spray-anti-chute-125ml-6-400x400.webp,TND,52.020 TND,Lire la suite,Pharmaceris H Stimuforten Spray Anti Chute 125ml,Anti Chute de Cheveux & Fortifiants
1758458380-46,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-s-dermopediatric-protection-solaire-enfant-spf50-125ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/05/pharmaceris-s-dermopediatric-protection-solaire-enfant-spf50-125ml-4-400x400.webp,TND,50.180 TND,Lire la suite,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,Protection solaire
1758458380-45,https://www.maparatunisie.tn/nos-marques/pharmaceris/,https://www.maparatunisie.tn/nos-marques/pharmaceris/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-creme-yeux-anti-rides-opti-sensilium-15ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/pharmaceris-a-creme-yeux-anti-rides-opti-sensilium-15ml-6-400x400.webp,TND,39.380 TND,Lire la suite,Pharmaceris A Opti-Sensilium Duo-Actif Antirides Contour des Yeux 15ml,Anti-âge yeux
